Manufacturer,Item,Category,CSI Spec Section,Description,Mounting Type,Unit of Measure,Currency,URL
JL Industries,C1016F10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1016F10 (trade 1016F10): semi-recessed 1-1/2 in square-edge trim, full-view door, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS. ADA-capable.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1016V10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1016V10 (trade 1016V10): semi-recessed 1-1/2 in square-edge trim, vertical-duo door, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1017F10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1017F10 (trade 1017F10): semi-recessed 3 in rolled-edge trim, full-view door, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS. ADA-capable.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1017V10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1017V10 (trade 1017V10): semi-recessed 3 in rolled-edge trim, vertical-duo door, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1017W10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1017W10 (trade 1017W10): semi-recessed 3 in rolled-edge trim, vertical-duo door with Saf-T-Lok, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1017G10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1017G10 (trade 1017G10): semi-recessed 3 in rolled-edge trim, full-view door with Saf-T-Lok, 0.090 in clear acrylic. 10 lb tub. White powder-coat CRS.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1017F10FX2,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1017F10FX2: Fire-FX2 fire-rated semi-recessed 3 in rolled trim, full-view door, 0.090 in clear acrylic. UL 1479 up to 2 hours. 10 lb tub.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1816F10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C1816F10: semi-recessed 1-1/2 in square trim, full-view door, 0.090 in clear acrylic. 18-size tub for Cosmic/Galaxy 2.5-6 lb (mount 6 lb to tub) and Mercury 2.5-5 lb.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C8115F10,Fire Extinguisher Cabinet,10 44 00,"Ambassador steel cabinet C8115F10 (trade 8115F10): fully recessed 3/8 in flat trim, full-view door, 0.090 in clear acrylic. Compact 81-size tub 9 x 18 x 5-1/2 in; fits Cosmic/Galaxy 2.5-6 lb.",Recessed,EA,USD,https://www.activarcpg.com/product/ambassador-series-steel/
JL Industries,C1023F10,Fire Extinguisher Cabinet,10 44 00,"Academy aluminum cabinet C1023F10 (trade 1023F10): surface-mount square edge, full-view door, 0.090 in clear acrylic. Clear-anodized aluminum door/trim and tub. 10 lb extinguisher fit.",Surface,EA,USD,https://www.activarcpg.com/product/academy-series-aluminum-fire-extinguisher-cabinet/
JL Industries,C1025F10,Fire Extinguisher Cabinet,10 44 00,"Academy aluminum cabinet C1025F10 (trade 1025F10): fully recessed 3/8 in flat trim, full-view door, 0.090 in clear acrylic. Anodized aluminum door/trim; white steel tub. 10 lb extinguisher fit. ADA-capable.",Recessed,EA,USD,https://www.activarcpg.com/product/academy-series-aluminum-fire-extinguisher-cabinet/
JL Industries,C1026L24,Fire Extinguisher Cabinet,10 44 00,"Academy aluminum cabinet C1026L24: semi-recessed 1-1/2 in square trim, solid door with cylinder lock and no handle (L24). Anodized aluminum door/trim. JL Industries / Activar CPG.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/academy-series-aluminum-fire-extinguisher-cabinet/
JL Industries,C1027F10,Fire Extinguisher Cabinet,10 44 00,"Academy aluminum cabinet C1027F10 (trade 1027F10): semi-recessed 3 in rolled (die-formed) trim, full-view door, 0.090 in clear acrylic. Anodized aluminum door/trim; white steel tub. 10 lb fit.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/academy-series-aluminum-fire-extinguisher-cabinet/
JL Industries,C1027V10,Fire Extinguisher Cabinet,10 44 00,"Academy aluminum cabinet C1027V10 (trade 1027V10): semi-recessed 3 in rolled trim, vertical-duo door, 0.090 in clear acrylic. Anodized aluminum. 10 lb extinguisher fit.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/academy-series-aluminum-fire-extinguisher-cabinet/
JL Industries,C1027F10FX2,Fire Extinguisher Cabinet,10 44 00,"Academy aluminum cabinet C1027F10FX2: Fire-FX2 fire-rated semi-recessed 3 in rolled trim, full-view door, 0.090 in clear acrylic. UL 1479 up to 2 hours. 10 lb tub.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/academy-series-aluminum-fire-extinguisher-cabinet/
JL Industries,C1033F10,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan stainless cabinet C1033F10 (trade 1033F10): surface-mount square trim, full-view door, 0.090 in clear acrylic. 304 stainless #4 door, trim, and tub. 10 lb extinguisher fit.",Surface,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,C1033V10,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan stainless cabinet C1033V10 (trade 1033V10): surface-mount square trim, vertical-duo door, 0.090 in clear acrylic. 304 stainless #4. 10 lb extinguisher fit.",Surface,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,C1035V10,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan stainless cabinet C1035V10 (trade 1035V10): fully recessed 3/8 in flat trim, vertical-duo door, 0.090 in clear acrylic. 304 stainless #4 door/trim; steel tub. 10 lb fit. ADA-capable.",Recessed,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,C1037F10,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan stainless cabinet C1037F10 (trade 1037F10): semi-recessed 3 in rolled trim, full-view door, 0.090 in clear acrylic. 304 stainless #4. 10 lb extinguisher fit. ADA-capable.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,C1037V10,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan stainless cabinet C1037V10 (trade 1037V10): semi-recessed 3 in rolled trim, vertical-duo door, 0.090 in clear acrylic. 304 stainless #4. 10 lb extinguisher fit.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,C1037W10,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan stainless cabinet C1037W10 (trade 1037W10): semi-recessed 3 in rolled trim, vertical-duo door with Saf-T-Lok, 0.090 in clear acrylic. 304 stainless #4. 10 lb fit.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,C1037F10FX2,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan stainless cabinet C1037F10FX2: Fire-FX2 fire-rated semi-recessed 3 in rolled trim, full-view door, 0.090 in clear acrylic. UL 1479 up to 2 hours. 10 lb tub.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,C2033F10,Fire Extinguisher Cabinet,10 44 00,"Cosmopolitan stainless cabinet C2033F10: surface-mount square trim, full-view door, 0.090 in clear acrylic. 20-size tub for larger extinguishers (typically 20 lb / Sentinel 10). 304 stainless #4 door, trim, and tub.",Surface,EA,USD,https://www.activarcpg.com/product/cosmopolitan-series-stainless-steel-fire-extinguisher-cabinet/
JL Industries,C1043F10,Fire Extinguisher Cabinet,10 44 00,"Cavalier bronze cabinet C1043F10 (trade 1043F10): surface-mount square edge, full-view door, 0.090 in clear acrylic. US10 satin bronze door/trim and tub. 10 lb extinguisher fit.",Surface,EA,USD,https://www.activarcpg.com/product/cavalier-series-bronze-or-brass/
JL Industries,C1045F10,Fire Extinguisher Cabinet,10 44 00,"Cavalier bronze cabinet C1045F10 (trade 1045F10): fully recessed 3/8 in flat trim, full-view door, 0.090 in clear acrylic. US10 satin bronze door/trim; white steel tub. 10 lb fit. ADA-capable.",Recessed,EA,USD,https://www.activarcpg.com/product/cavalier-series-bronze-or-brass/
JL Industries,C1047F10,Fire Extinguisher Cabinet,10 44 00,"Cavalier bronze cabinet C1047F10 (trade 1047F10): semi-recessed 3 in rolled trim, full-view door, 0.090 in clear acrylic. US10 satin bronze door/trim; white steel tub. 10 lb extinguisher fit.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/cavalier-series-bronze-or-brass/
JL Industries,C1055F10,Fire Extinguisher Cabinet,10 44 00,"Cavalier brass cabinet C1055F10 (trade 1055F10): fully recessed 3/8 in flat trim, full-view door, 0.090 in clear acrylic. US3 polished brass door/trim; white steel tub. 10 lb extinguisher fit.",Recessed,EA,USD,https://www.activarcpg.com/product/cavalier-series-bronze-or-brass/
JL Industries,C1013C70,Fire Extinguisher Cabinet,10 44 00,"Panorama cabinet C1013C70 (trade 1013C70): surface-mount steel, frameless clear 3/16 in unlettered polycarbonate door (C70). 10 lb tub. White powder-coat steel trim. JL Industries / Activar CPG.",Surface,EA,USD,https://www.activarcpg.com/product/panorama-series-frameless-acrylic-door-fire-extinguisher-cabinet/
JL Industries,C1015C70,Fire Extinguisher Cabinet,10 44 00,"Panorama cabinet C1015C70 (trade 1015C70): fully recessed 3/8 in flat steel trim, frameless clear 3/16 in polycarbonate door (C70). Tub 10-1/2 x 24 x 6 in; fits 2.5-10 lb. ADA-capable.",Recessed,EA,USD,https://www.activarcpg.com/product/panorama-series-frameless-acrylic-door-fire-extinguisher-cabinet/
JL Industries,C1015C71,Fire Extinguisher Cabinet,10 44 00,"Panorama cabinet C1015C71 (trade 1015C71): fully recessed 3/8 in flat steel trim, frameless clear 3/16 in polycarbonate door with Saf-T-Lok (C71). Tub 10-1/2 x 24 x 6 in; fits 2.5-10 lb.",Recessed,EA,USD,https://www.activarcpg.com/product/panorama-series-frameless-acrylic-door-fire-extinguisher-cabinet/
JL Industries,C1017C70,Fire Extinguisher Cabinet,10 44 00,"Panorama cabinet C1017C70 (trade 1017C70): semi-recessed 3 in rolled steel trim, frameless clear 3/16 in polycarbonate door (C70). 10 lb tub. ADA-capable.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/panorama-series-frameless-acrylic-door-fire-extinguisher-cabinet/
JL Industries,C1515G25,Fire Extinguisher Cabinet,10 44 00,"Clear Vu bubble cabinet C1515G25 (trade 1515G25): fully recessed 3/8 in flat square steel trim, full-view door with clear acrylic bubble (G25) and Saf-T-Lok. 1500 series; 2-1/2 in bubble projection. Fits 2.5-10 lb extinguishers. White powder-coat CRS.",Recessed,EA,USD,https://www.activarcpg.com/product/clear-vu-series-acrylic-bubble-fire-extinguisher-cabinet/
JL Industries,C1516F25,Fire Extinguisher Cabinet,10 44 00,"Clear Vu bubble cabinet C1516F25 (trade 1516F25): semi-recessed 1-1/2 in square steel trim, full-view door with clear acrylic bubble (F25). 1500 series. Fits 2.5-10 lb extinguishers.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/clear-vu-series-acrylic-bubble-fire-extinguisher-cabinet/
JL Industries,C1516F25FX2,Fire Extinguisher Cabinet,10 44 00,"Clear Vu bubble cabinet C1516F25FX2: Fire-FX2 fire-rated semi-recessed 1-1/2 in square steel trim, full-view clear acrylic bubble. UL 1479 up to 2 hours. 1500 series, 2.5-10 lb fit.",Semi-recessed,EA,USD,https://www.activarcpg.com/product/clear-vu-series-acrylic-bubble-fire-extinguisher-cabinet/
JL Industries,C5614V10,Fire Extinguisher Cabinet,10 44 00,"Embassy trimless cabinet C5614V10 (trade 5614V10): recessed overlapping steel door, vertical-duo 0.090 in clear acrylic, concealed ABS cup pull. White powder-coat. 5600 size for 2.5-10 lb. ADA.",Recessed,EA,USD,https://www.activarcpg.com/product/embassy-series-trimless/
JL Industries,C5614S21,Fire Extinguisher Cabinet,10 44 00,Embassy trimless cabinet C5614S21 (trade 5614S21): recessed overlapping steel solid door (S21) with concealed pull. White powder-coat. 5600 size for 2.5-10 lb. ADA projection-compliant.,Recessed,EA,USD,https://www.activarcpg.com/product/embassy-series-trimless/
JL Industries,C5634S21,Fire Extinguisher Cabinet,10 44 00,Embassy trimless cabinet C5634S21: recessed overlapping 304 stainless #4 solid door (S21) with concealed pull. 5600 size for 2.5-10 lb. ADA projection-compliant.,Recessed,EA,USD,https://www.activarcpg.com/product/embassy-series-trimless/
JL Industries,C5614V17FX2,Fire Extinguisher Cabinet,10 44 00,"Embassy trimless cabinet C5614V17FX2: Fire-FX2 fire-rated recessed steel vertical-duo door, clear tempered glazing, concealed pull. UL 1479 up to 2 hours. 5600 size, 2.5-10 lb. ADA.",Recessed,EA,USD,https://www.activarcpg.com/product/embassy-series-trimless/
JL Industries,C2115F10,Fire Extinguisher Cabinet,10 44 00,"Orbit low-profile cabinet C2115F10 (trade 2115F10): fully recessed 3/8 in flat steel trim, full-view 0.090 in clear acrylic. Tub 12 x 27 x 3-1/4 in (fits 3-5/8 in stud wall); rough opening 13 x 28 x 3-1/8 in. Holds Orbit FE10V 10 lb only. ADA.",Recessed,EA,USD,https://www.activarcpg.com/product/orbit-series-low-profile/
JL Industries,C2115F10FX2,Fire Extinguisher Cabinet,10 44 00,"Orbit low-profile cabinet C2115F10FX2: Fire-FX2 fire-rated recessed 3/8 in flat steel trim, full-view clear acrylic. Tub 12 x 27 x 3-1/4 in for Orbit FE10V only. UL 1479 up to 2 hours. ADA.",Recessed,EA,USD,https://www.activarcpg.com/product/orbit-series-low-profile/
JL Industries,C2119G10,Fire Extinguisher Cabinet,10 44 00,"Orbit low-profile cabinet C2119G10 (trade 2119G10): surface-mount steel with flush pull, full-view door with Saf-T-Lok, clear acrylic. Overall about 15-1/4 x 30-1/4 x 3-11/16 in (4 in ADA projection). Holds Orbit FE10V 10 lb only.",Surface,EA,USD,https://www.activarcpg.com/product/orbit-series-low-profile/
