manufacturer,item,category,csi_spec_section,description,currency,unit_of_measure
ASI,ASI-PLASTIC-CLR-9658,Lockers,10 51 26,ASI Plastic HDPE Locker Color - Caramel #9658,USD,EA
ASI,ASI-PLASTIC-TRAD,Lockers,10 51 26,ASI Plastic Traditional HDPE Locker,USD,EA
ASI,ASI-PLASTIC-TRADPLUS,Lockers,10 51 26,ASI Plastic Traditional Plus HDPE Locker,USD,EA
ASI,ASI-PRO-METAL,Lockers,10 51 13,ASI Pro Metal Athletic Locker (Powder Coated Steel),USD,EA
ASI,ASI-SIZE-12x12x60,Lockers,10 51 00,ASI Locker Size 12x12x60,USD,EA
ASI,ASI-SIZE-12x12x66,Lockers,10 51 00,ASI Locker Size 12x12x66,USD,EA
ASI,ASI-SIZE-12x12x72,Lockers,10 51 00,ASI Locker Size 12x12x72,USD,EA
ASI,ASI-SIZE-12x12x78,Lockers,10 51 00,ASI Locker Size 12x12x78,USD,EA
ASI,ASI-SIZE-12x15x60,Lockers,10 51 00,ASI Locker Size 12x15x60,USD,EA
ASI,ASI-SIZE-12x15x66,Lockers,10 51 00,ASI Locker Size 12x15x66,USD,EA
ASI,ASI-SIZE-12x15x72,Lockers,10 51 00,ASI Locker Size 12x15x72,USD,EA
ASI,ASI-SIZE-12x15x78,Lockers,10 51 00,ASI Locker Size 12x15x78,USD,EA
ASI,ASI-SIZE-12x18x60,Lockers,10 51 00,ASI Locker Size 12x18x60,USD,EA
ASI,ASI-SIZE-12x18x66,Lockers,10 51 00,ASI Locker Size 12x18x66,USD,EA
ASI,ASI-SIZE-12x18x72,Lockers,10 51 00,ASI Locker Size 12x18x72,USD,EA
ASI,ASI-SIZE-12x18x78,Lockers,10 51 00,ASI Locker Size 12x18x78,USD,EA
ASI,ASI-SIZE-15x15x60,Lockers,10 51 00,ASI Locker Size 15x15x60,USD,EA
ASI,ASI-SIZE-15x15x72,Lockers,10 51 00,ASI Locker Size 15x15x72,USD,EA
ASI,ASI-SIZE-15x15x78,Lockers,10 51 00,ASI Locker Size 15x15x78,USD,EA
ASI,ASI-SIZE-15x18x60,Lockers,10 51 00,ASI Locker Size 15x18x60,USD,EA
ASI,ASI-SIZE-15x18x72,Lockers,10 51 00,ASI Locker Size 15x18x72,USD,EA
ASI,ASI-SIZE-15x18x78,Lockers,10 51 00,ASI Locker Size 15x18x78,USD,EA
ASI,ASI-SIZE-18x18x60,Lockers,10 51 00,ASI Locker Size 18x18x60,USD,EA
ASI,ASI-SIZE-18x18x72,Lockers,10 51 00,ASI Locker Size 18x18x72,USD,EA
ASI,ASI-SIZE-18x18x78,Lockers,10 51 00,ASI Locker Size 18x18x78,USD,EA
ASI,ASI-SIZE-24x18x72,Lockers,10 51 00,ASI Locker Size 24x18x72,USD,EA
ASI,ASI-SIZE-24x21x72,Lockers,10 51 00,ASI Locker Size 24x21x72,USD,EA
ASI,ASI-SIZE-24x24x72,Lockers,10 51 00,ASI Locker Size 24x24x72,USD,EA
ASI,ASI-SPEC-16P,Lockers,10 51 13,ASI Specialty 16-Person Metal Locker,USD,EA
ASI,ASI-SPEC-WALL,Lockers,10 51 13,ASI Specialty Wall-Mounted Metal Locker,USD,EA
ASI,ASI-TRAD-METAL,Lockers,10 51 13,ASI Traditional Metal Locker (Powder Coated Steel),USD,EA
ASI,ASI-TRADPLUS-METAL,Lockers,10 51 13,ASI Traditional Plus Metal Locker (Powder Coated Steel),USD,EA
